6												
41												
4.25	4.08400480E+07	7.86905230E+06	2.90367110E+06	2.96281470E+07	6.95191520E+06	1.90899190E+07	6.22576290E+07	1.03860320E+07	2.99655960E+06	2.56591680E+07	4.70496560E+06	1.49182530E+07
4.30	4.96274470E+07	9.88810440E+06	3.70914100E+06	3.40868050E+07	8.10000900E+06	2.16605040E+07	6.61631400E+07	1.08907950E+07	3.12543480E+06	2.81671630E+07	5.11827940E+06	1.65634270E+07
4.35	5.97138250E+07	1.22477830E+07	4.65991070E+06	3.91037160E+07	9.39601370E+06	2.45465040E+07	7.06459740E+07	1.14807140E+07	3.27755790E+06	3.09891760E+07	5.58484110E+06	1.84104670E+07
4.40	7.12380460E+07	1.49831780E+07	5.77095180E+06	4.47454920E+07	1.08571720E+07	2.77862170E+07	7.57678510E+07	1.21645630E+07	3.45532450E+06	3.41626750E+07	6.11085820E+06	2.04838830E+07
4.45	8.43566830E+07	1.81333910E+07	7.05877600E+06	5.10870220E+07	1.25029060E+07	3.14226320E+07	8.15983560E+07	1.29521160E+07	3.66137630E+06	3.77297860E+07	6.70332240E+06	2.28111890E+07
4.50	9.92464530E+07	2.17422850E+07	8.54178450E+06	5.82124750E+07	1.43550760E+07	3.55040020E+07	8.82160310E+07	1.38543400E+07	3.89865770E+06	4.17378530E+07	7.37010380E+06	2.54232650E+07
4.55	1.16106830E+08	2.58592530E+07	1.02406210E+07	6.62164140E+07	1.64382770E+07	4.00844850E+07	9.57095340E+07	1.48835820E+07	4.17047160E+06	4.62400690E+07	8.12005590E+06	2.83547740E+07
4.60	1.35162920E+08	3.05400150E+07	1.21785330E+07	7.52050580E+07	1.87801620E+07	4.52248610E+07	1.04178910E+08	1.60537720E+07	4.48053740E+06	5.12961810E+07	8.96313460E+06	3.16446150E+07
4.65	1.56668550E+08	3.58474710E+07	1.43817450E+07	8.52976860E+07	2.14118150E+07	5.09933410E+07	1.13736960E+08	1.73806360E+07	4.83305130E+06	5.69732840E+07	9.91052980E+06	3.53364420E+07
4.70	1.80909780E+08	4.18526130E+07	1.68798610E+07	9.66282280E+07	2.43681630E+07	5.74664690E+07	1.24510840E+08	1.88819220E+07	5.23275000E+06	6.33467140E+07	1.09748150E+07	3.94792440E+07
4.75	2.08208780E+08	4.86355310E+07	1.97062960E+07	1.09347040E+08	2.76884390E+07	6.47301400E+07	1.36643730E+08	2.05776510E+07	5.68497950E+06	7.05010430E+07	1.21701150E+07	4.41279930E+07
4.80	2.38928140E+08	5.62865220E+07	2.28987430E+07	1.23622880E+08	3.14167040E+07	7.28807370E+07	1.50296780E+08	2.24903990E+07	6.19577100E+06	7.85312070E+07	1.35122900E+07	4.93443750E+07
4.85	2.73475750E+08	6.49073150E+07	2.64997010E+07	1.39645200E+08	3.56024320E+07	8.20264140E+07	1.65651270E+08	2.46455970E+07	6.77192420E+06	8.75437620E+07	1.50191520E+07	5.51976090E+07
4.90	3.12310200E+08	7.46124520E+07	3.05570480E+07	1.57626600E+08	4.03011650E+07	9.22885300E+07	1.82911030E+08	2.70718810E+07	7.42109980E+06	9.76583000E+07	1.67106960E+07	6.17653630E+07
4.95	3.55946940E+08	8.55308180E+07	3.51246930E+07	1.77805690E+08	4.55752560E+07	1.03803260E+08	2.02305140E+08	2.98014730E+07	8.15192290E+06	1.09009030E+08	1.86093690E+07	6.91347870E+07
5.00	4.04965080E+08	9.78073670E+07	4.02632930E+07	2.00450220E+08	5.14946880E+07	1.16723390E+08	2.24090980E+08	3.28706100E+07	8.97409900E+06	1.21746580E+08	2.07403640E+07	7.74036690E+07
