6
4
term1		term2		H
0.0077373082    0.0077349590	2.0
0.0015042121    0.0015038268	2.0
0.00063383555   0.00063352102	2.0
0.17219829      0.17215935	2.0
0.079381865     0.079357611	2.0
0.62087212      0.62079383	2.0
0.00076030838   0.00075996967	4.0
0.027667106     0.027659416	4.0
0.14329496      0.14326259	4.0
0.32236865      0.32231074	4.0
