6	
1	
0	1
101	
0	29.40254167
0.01	28.13762816
0.02	26.91035506
0.03	25.71987045
0.04	24.56535248
0.05	23.44600851
0.06	22.36107416
0.07	21.30981243
0.08	20.29151293
0.09	19.30549102
0.1	18.3510871
0.11	17.42766583
0.12	16.53461546
0.13	15.67134714
0.14	14.83729431
0.15	14.03191201
0.16	13.25467636
0.17	12.50508397
0.18	11.78265137
0.19	11.08691454
0.2	10.41742837
0.21	9.773766214
0.22	9.155519423
0.23	8.562296924
0.24	7.993724797
0.25	7.449445892
0.26	6.929119448
0.27	6.432420743
0.28	5.959040753
0.29	5.508685835
0.3	5.081077419
0.31	4.675951726
0.32	4.293059492
0.33	3.932165716
0.34	3.593049419
0.35	3.275503416
0.36	2.97933411
0.37	2.704361288
0.38	2.450417946
0.39	2.217350116
0.4	2.005016708
0.41	1.813289375
0.42	1.642052376
0.43	1.491202463
0.44	1.360648778
0.45	1.250312761
0.46	1.160128068
0.47	1.090040512
0.48	1.040008001
0.49	1.0100005
0.5	1
0.51	1.0100005
0.52	1.040008001
0.53	1.090040512
0.54	1.160128068
0.55	1.250312761
0.56	1.360648778
0.57	1.491202463
0.58	1.642052376
0.59	1.813289375
0.6	2.005016708
0.61	2.217350116
0.62	2.450417946
0.63	2.704361288
0.64	2.97933411
0.65	3.275503416
0.66	3.593049419
0.67	3.932165716
0.68	4.293059492
0.69	4.675951726
0.7	5.081077419
0.71	5.508685835
0.72	5.959040753
0.73	6.432420743
0.74	6.929119448
0.75	7.449445892
0.76	7.993724797
0.77	8.562296924
0.78	9.155519423
0.79	9.773766214
0.8	10.41742837
0.81	11.08691454
0.82	11.78265137
0.83	12.50508397
0.84	13.25467636
0.85	14.03191201
0.86	14.83729431
0.87	15.67134714
0.88	16.53461546
0.89	17.42766583
0.9	18.3510871
0.91	19.30549102
0.92	20.29151293
0.93	21.30981243
0.94	22.36107416
0.95	23.44600851
0.96	24.56535248
0.97	25.71987045
0.98	26.91035506
0.99	28.13762816
1	29.40254167
