6
1
0.0	1.0
3481	
0.0000E+00	1000
2.8736E-04	997.1338507
5.7471E-04	994.280006
8.6207E-04	991.4383956
1.1494E-03	988.6089495
1.4368E-03	985.7915986
1.7241E-03	982.9862739
2.0115E-03	980.1929071
2.2989E-03	977.4114303
2.5862E-03	974.6417762
2.8736E-03	971.8838778
3.1609E-03	969.1376687
3.4483E-03	966.403083
3.7356E-03	963.6800551
4.0230E-03	960.96852
4.3103E-03	958.2684131
4.5977E-03	955.5796703
4.8851E-03	952.9022278
5.1724E-03	950.2360226
5.4598E-03	947.5809917
5.7471E-03	944.9370728
6.0345E-03	942.304204
6.3218E-03	939.6823238
6.6092E-03	937.0713711
6.8966E-03	934.4712853
7.1839E-03	931.8820062
7.4713E-03	929.3034739
7.7586E-03	926.7356291
8.0460E-03	924.1784128
8.3333E-03	921.6317664
8.6207E-03	919.0956318
8.9080E-03	916.5699511
9.1954E-03	914.054667
9.4828E-03	911.5497226
9.7701E-03	909.0550611
1.0057E-02	906.5706265
1.0345E-02	904.0963628
1.0632E-02	901.6322147
1.0920E-02	899.1781271
1.1207E-02	896.7340452
1.1494E-02	894.2999148
1.1782E-02	891.875682
1.2069E-02	889.461293
1.2356E-02	887.0566948
1.2644E-02	884.6618344
1.2931E-02	882.2766593
1.3218E-02	879.9011175
1.3506E-02	877.5351569
1.3793E-02	875.1787263
1.4080E-02	872.8317745
1.4368E-02	870.4942507
1.4655E-02	868.1661045
1.4943E-02	865.8472858
1.5230E-02	863.5377449
1.5517E-02	861.2374323
1.5805E-02	858.9462988
1.6092E-02	856.6642959
1.6379E-02	854.3913749
1.6667E-02	852.1274878
1.6954E-02	849.8725867
1.7241E-02	847.6266242
1.7529E-02	845.389553
1.7816E-02	843.1613264
1.8103E-02	840.9418977
1.8391E-02	838.7312207
1.8678E-02	836.5292494
1.8966E-02	834.3359382
1.9253E-02	832.1512418
1.9540E-02	829.975115
1.9828E-02	827.8075131
2.0115E-02	825.6483916
2.0402E-02	823.4977065
2.0690E-02	821.3554137
2.0977E-02	819.2214696
2.1264E-02	817.095831
2.1552E-02	814.9784547
2.1839E-02	812.8692981
2.2126E-02	810.7683187
2.2414E-02	808.6754741
2.2701E-02	806.5907225
2.2989E-02	804.5140223
2.3276E-02	802.4453319
2.3563E-02	800.3846102
2.3851E-02	798.3318165
2.4138E-02	796.28691
2.4425E-02	794.2498505
2.4713E-02	792.2205977
2.5000E-02	790.1991119
2.5287E-02	788.1853536
2.5575E-02	786.1792832
2.5862E-02	784.1808619
2.6149E-02	782.1900506
2.6437E-02	780.2068109
2.6724E-02	778.2311044
2.7011E-02	776.262893
2.7299E-02	774.3021388
2.7586E-02	772.3488042
2.7874E-02	770.4028519
2.8161E-02	768.4642445
2.8448E-02	766.5329454
2.8736E-02	764.6089177
2.9023E-02	762.6921249
2.9310E-02	760.782531
2.9598E-02	758.8800998
2.9885E-02	756.9847956
3.0172E-02	755.0965828
3.0460E-02	753.2154261
3.0747E-02	751.3412904
3.1034E-02	749.4741408
3.1322E-02	747.6139426
3.1609E-02	745.7606614
3.1897E-02	743.9142628
3.2184E-02	742.0747129
3.2471E-02	740.2419779
3.2759E-02	738.416024
3.3046E-02	736.5968179
3.3333E-02	734.7843265
3.3621E-02	732.9785166
3.3908E-02	731.1793554
3.4195E-02	729.3868105
3.4483E-02	727.6008493
3.4770E-02	725.8214398
3.5057E-02	724.0485498
3.5345E-02	722.2821475
3.5632E-02	720.5222014
3.5920E-02	718.76868
3.6207E-02	717.0215521
3.6494E-02	715.2807867
3.6782E-02	713.5463528
3.7069E-02	711.8182199
3.7356E-02	710.0963574
3.7644E-02	708.380735
3.7931E-02	706.6713227
3.8218E-02	704.9680904
3.8506E-02	703.2710085
3.8793E-02	701.5800473
3.9080E-02	699.8951775
3.9368E-02	698.2163698
3.9655E-02	696.5435952
3.9943E-02	694.8768248
4.0230E-02	693.2160299
4.0517E-02	691.561182
4.0805E-02	689.9122528
4.1092E-02	688.2692139
4.1379E-02	686.6320375
4.1667E-02	685.0006956
4.1954E-02	683.3751606
4.2241E-02	681.7554049
4.2529E-02	680.1414012
4.2816E-02	678.5331223
4.3103E-02	676.9305411
4.3391E-02	675.3336307
4.3678E-02	673.7423645
4.3966E-02	672.1567158
4.4253E-02	670.5766582
4.4540E-02	669.0021655
4.4828E-02	667.4332117
4.5115E-02	665.8697706
4.5402E-02	664.3118166
4.5690E-02	662.759324
4.5977E-02	661.2122673
4.6264E-02	659.6706211
4.6552E-02	658.1343603
4.6839E-02	656.6034597
4.7126E-02	655.0778946
4.7414E-02	653.5576401
4.7701E-02	652.0426716
4.7989E-02	650.5329646
4.8276E-02	649.0284947
4.8563E-02	647.5292379
4.8851E-02	646.03517
4.9138E-02	644.5462672
4.9425E-02	643.0625055
4.9713E-02	641.5838615
5.0000E-02	640.1103115
5.0287E-02	638.6418323
5.0575E-02	637.1784005
5.0862E-02	635.7199931
5.1149E-02	634.2665871
5.1437E-02	632.8181597
5.1724E-02	631.3746881
5.2011E-02	629.9361497
5.2299E-02	628.5025222
5.2586E-02	627.0737831
5.2874E-02	625.6499103
5.3161E-02	624.2308817
5.3448E-02	622.8166754
5.3736E-02	621.4072694
5.4023E-02	620.0026422
5.4310E-02	618.6027722
5.4598E-02	617.2076378
5.4885E-02	615.8172178
5.5172E-02	614.431491
5.5460E-02	613.0504361
5.5747E-02	611.6740323
5.6034E-02	610.3022588
5.6322E-02	608.9350946
5.6609E-02	607.5725193
5.6897E-02	606.2145123
5.7184E-02	604.8610532
